"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","genus","taxonRank","scientificName","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","occurrenceID","clade","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT","BasisOfRecord"
"Anacampseros rufescens",30.375,-30.625,"ZAF","NA","616232721","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros rufescens (Harv.) Sw.","NULL",1970,NA,"SANBI","PRECIS","NA","Anacampserotaceae",195.283218,67,449.249695,2578.717529,262.016205,113.016205,149.24968,225,156.016205,230.766449,156.016205,1192.029907,145.216293,36.933075,42.283218,424.181793,112.0327,406.44873,112.0327,19.5283218,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",28.375,-31.125,"ZAF","NA","453145397","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1994,NA,"SANBI","PRECIS","NA","Anacampserotaceae",146.75032,109,493.233551,3675.549805,243.267014,21.750317,221,191.799911,87.750313,192.267014,87.750313,808.414001,122.433418,12,61.999928,354.83316,39.73299,354.366058,39.73299,14.675032,"PRESERVED_SPECIMEN"
"Anacampseros telephiastrum",30.375,-30.625,"ZAF","NA","453145394","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros telephiastrum DC.","NULL",1981,NA,"SANBI","PRECIS","NA","Anacampserotaceae",195.283218,67,449.249695,2578.717529,262.016205,113.016205,149.24968,225,156.016205,230.766449,156.016205,1192.029907,145.216293,36.933075,42.283218,424.181793,112.0327,406.44873,112.0327,19.5283218,"PRESERVED_SPECIMEN"
"Grahamia australiana",134.706667,-28.199167,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.M.Black","150",1996,NA,"AD","AD","AD:AD:AD 99909167","Anacampserotaceae",210.683136,111,391,6174.544434,348.87854,64.261879,285,290.683136,134.683136,290.683136,120,162.686783,24.316858,7,39.633717,67.950577,24,66.950577,31,21.0683136,"PreservedSpecimen"
"Grahamia australiana",138.5333,-31.3333,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.M.Black","1000",1985,NA,"CANB","CANB","CANB:CANB:CANB 464565.1","Anacampserotaceae",187.720688,107,392.267029,5812.619141,327.987701,54.720688,273.233521,103.720688,212.401581,265.720703,103.720688,285.927246,37.512821,14.520695,28.237923,105.53846,47.054741,60,105.53846,18.7720688,"PreservedSpecimen"
"Grahamia australiana",137.666667,-31.533333,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.Black","1000",1992,NA,"AD","AD","AD:AD:AD 99252007","Anacampserotaceae",198.249786,106,390.750214,5690.261719,337.982697,67.732918,270,274.73291,157.732925,274.73291,115.982704,189.767639,21,13,16,59,39,59,43,19.8249786,"PreservedSpecimen"
"Grahamia australiana",138.437222,-32.439167,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.M.Black","15",1996,NA,"AD","AD","AD:AD:AD 186527","Anacampserotaceae",160.989517,104,409.81665,5134.231934,296.989532,43.183346,253.81665,141.249588,210.18335,231.989517,88.986488,279.267426,28.196854,14.833195,16.894123,82.757362,47.496552,56.493519,77.907631,16.0989517,"PreservedSpecimen"
"Grahamia australiana",138.081389,-32.063611,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.M.Black","15",1996,NA,"AD","AD","AD:AD:AD 99830054","Anacampserotaceae",176.54982,105,403,5344.049316,314.182739,53.549812,260.116638,115.549812,191.266312,249.54982,100.266312,289.455048,29.933874,18.966936,13.599875,89.401245,57.467808,68.184311,83.434311,17.654982,"PreservedSpecimen"
"Grahamia australiana",138.4167,-32.4,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.M.Black","1000",1985,NA,"CANB","CANB","CANB:CANB:CANB 464566.1","Anacampserotaceae",150.184937,104,411.269104,5109.579102,285.70575,32.705757,253,87.799568,199.436646,220.705765,78.184937,361.577148,35.223339,21.269104,13.954236,103.862709,68.038902,80.270493,101.131813,15.0184937,"PreservedSpecimen"
"Grahamia australiana",137.633333,-31.616667,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.Black","1000",1992,NA,"AD","AD","AD:AD:AD 99330201","Anacampserotaceae",198,105,392,5636.549316,337,68.483345,268.750336,273.750336,213.249786,273.750336,116.483345,176.899673,18.516655,12.516655,13,51.549965,38.549965,51.549965,43,19.8,"PreservedSpecimen"
